Composition,Uses
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Tranexamic Acid (500mg) + Mefenamic Acid (250mg),Treatment of Heavy menstrual bleedingTreatment of Menstrual pain
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Ticarcillin (3000mg) + Clavulanic Acid (100mg), Bacterial infections
Terbinafine (500mg), Fungal infections
Chlorthalidone (12.5mg) + Metoprolol Succinate (50mg) + Cilnidipine (10mg), Hypertension (high blood pressure)
Dill Oil (0.005ml) + Fennel Oil (0.0007ml) + Simethicone (40mg),Treatment of Abdominal pain
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Olanzapine (10mg),Treatment of SchizophreniaTreatment of Mania
Tadalafil (20mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Terbinafine (250mg), Fungal infections
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Minoxidil (5% w/w),Treatment of Hair loss
Amiodarone (100mg),Treatment of Arrhythmia
Trifluoperazine (5mg) + Trihexyphenidyl (2mg), Schizophrenia
Metformin (850mg) + Linagliptin (2.5mg),Treatment of Type 2 diabetes mellitus
Tacrolimus (0.03% w/w),Treatment of Atopic dermatitis
Methotrexate (1% w/w),Treatment of Psoriasis
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Montelukast (4mg),Treatment of Sneezing and runny nose due to allergies
Tacrolimus (0.03% w/w),Treatment of Atopic dermatitis
Atorvastatin (5mg), High cholesterolPrevention of Heart attack
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Olanzapine (405mg), SchizophreniaTreatment of Mania
Tolterodine (2mg),Treatment of Overactive bladder (OAB) symptoms
Tiotropium (18mcg),Treatment of Chronic obstructive pulmonary disease (COPD)
Gabapentin (300mg) + Amitriptyline (10mg), Neuropathic pain
Cilnidipine (10mg) + Telmisartan (40mg),Treatment of Hypertension (high blood pressure)
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Measles Vaccine (Live) (1000ccid50) + Mumps Virus Vaccine (5000ccid50) + Rubella vaccine (Live) (1000ccid50), Prevention of Measles Prevention of Rubella Prevention of Mumps
Trypsin (48mg) + Rutoside (100mg) + Bromelain (90mg) + Aceclofenac (100mg), Pain relief
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tetanus Toxoid (40IU),Prevention of Tetanus
Timolol (5mg) + Travoprost (40mcg),Treatment of GlaucomaTreatment of Ocular hypertension
Aceclofenac (100mg), Pain relief
Torasemide (5mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Tobramycin (80mg),Treatment of Bacterial eye infections
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Telmisartan (40mg) + Cilnidipine (10mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Tadalafil (10mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Hydrocortisone (1% w/w),Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders
Azithromycin (500mg),Treatment of Bacterial infections
Olmesartan Medoxomil (20mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Thiocolchicoside (4mg) + Diclofenac (50mg), Pain due to muscle spasm
Cilnidipine (10mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
Terbinafine (1% w/w), Fungal skin infections
Formoterol (12mcg) + Tiotropium (18mcg), Chronic obstructive pulmonary disease (COPD)
Troxipide (300mg), Stomach ulcers
Bambuterol (10mg) + Montelukast (10mg),Treatment of Asthma
Atenolol (50mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Thioridazine (10mg), Schizophrenia
Aspirin (75mg) + Rosuvastatin (10mg) + Clopidogrel (75mg), Heart attack
Levetiracetam (500mg),Treatment of Epilepsy/Seizures
Ciclesonide (200mcg) + Formoterol (6mcg) + Tiotropium (9mcg), Chronic obstructive pulmonary disease (COPD)
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Clobetasol (0.05% w/w),Treatment of Allergic skin conditions
Telmisartan (40mg) + Cilnidipine (10mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Minoxidil (5% w/v),Treatment of Hair loss
Haloperidol (5mg), Schizophrenia
Terbinafine (250mg), Fungal infections
Olmesartan Medoxomil (20mg) + Amlodipine (5mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tolvaptan (15mg),Treatment of Low levels of sodium in the blood
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Euphorbia Prostrata Extract (100mg) + Calcium Dobesilate (500mg),Treatment of Piles
Terbinafine (250mg), Fungal infections
Aceclofenac (200mg), Pain relief
Losartan (50mg) + Amlodipine (5mg), Hypertension (high blood pressure)
Guaifenesin (100mg) + Terbutaline (2.5mg) + Bromhexine (8mg),Treatment of Cough with mucus
Oxaceprol (600mg), Osteoarthritis Rheumatoid arthritis
Carbamazepine (100mg/5ml), Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain
Testosterone (40mg),Treatment of Male hypogonadism
Divalproex (500mg),Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine
Tranylcypromine (10mg), Depression
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Terbinafine (1% w/w), Fungal skin infections
Trazodone (100mg), Depression
Tolperisone (450mg) + Diclofenac (100mg), Pain due to muscle spasm
Atorvastatin (10mg) + Vitamin D3 (1000IU), High cholesterol
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Lactitol (66.67% w/v), Constipation
Emtricitabine (200mg) + Tenofovir disoproxil fumarate (300mg) + Efavirenz (600mg), HIV infection
Clobetasol (0.05% w/w),Treatment of Allergic skin conditions
Levodopa (100mg) + Carbidopa (10mg),Treatment of Parkinson's disease
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Amitriptyline (25mg),Treatment of Depression Neuropathic painTreatment of Migraine
Tolperisone (150mg), Muscle relaxation
Terbinafine (1% w/v), Fungal skin infections
Hydrotalcite (500mg) + Simethicone (50mg), Acidity Stomach ulcers
Phenylephrine (5% w/v) + Tropicamide (0.8% w/v), Eye examination
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Thiocolchicoside (8mg) + Aceclofenac (100mg) + Paracetamol (325mg),Treatment of Muscular pain
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Tolperisone (150mg), Muscle relaxation
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Ketoconazole (2% w/v) + Coal Tar (2% w/v),Treatment of Dandruff
Mupirocin (2% w/w),Treatment of Bacterial skin infections
Piribedil (50mg), Parkinson's disease
Tolvaptan (30mg),Treatment of Low levels of sodium in the blood
Atropine (0.01% w/v),Treatment of Myopia
Topiramate (100mg), Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
Clindamycin (1% w/w),Treatment of Bacterial infections
Thalidomide (100mg), Multiple myeloma Lepra reaction
Travoprost (0.004% w/v),Treatment of GlaucomaTreatment of Ocular hypertension
Losartan (50mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Tiapride (25mg), Schizophrenia Mania
Hydroxocobalamin (1000mcg),Treatment of Nutritional deficiencies
Tropicamide (1% w/v), Eye examination Uveitis
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tadalafil (20mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Torasemide (20mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Amitriptyline (75mg),Treatment of Depression Neuropathic painTreatment of Migraine
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Neostigmine (15mg), Myasthenia gravis Paralytic ileus Post-operative urinary retention Reversal of effect of skeletal muscle relaxant  after surgery
Clindamycin (100mg) + Clotrimazole (100mg) + Tinidazole (100mg) + Lactobacillus Sporogenes (150Million spores), Syndromic treatment of vaginal discharge
Troxipide (100mg), Stomach ulcers
Cilnidipine (10mg) + Telmisartan (40mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Timolol (0.5% w/v), Glaucoma Ocular hypertension
Amiodarone (200mg),Treatment of Arrhythmia
Thioridazine (25mg), Schizophrenia
Spironolactone (50mg) + Torasemide (20mg),Treatment of Edema
Telmisartan (40mg) + Cilnidipine (10mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Dienogest (2mg),Treatment of pelvic pain associated with Endometriosis
Telmisartan (80mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Tolterodine (4mg),Treatment of Overactive bladder (OAB) symptoms
Sodium Valproate (300mg), Epilepsy/SeizuresPrevention of Migraine Bipolar disorder
Losartan (50mg),Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke
Haloperidol Decanoate (50mg/ml), Schizophrenia
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Trimetazidine (35mg),Treatment of Angina (heart-related chest pain)
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Terbinafine (1% w/w), Fungal skin infections
Chlorpheniramine Maleate (4mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Torasemide (20mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Tadalafil (10mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Clobetasol (0.05% w/v),Treatment of Allergic skin conditions
Sodium Valproate (200mg), Epilepsy/SeizuresPrevention of Migraine Bipolar disorder
Metformin (1000mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Etoricoxib (60mg) + Thiocolchicoside (4mg),Treatment of Pain due to muscle spasm
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Ofloxacin (0.75% w/w) + Clobetasol (0.05% w/w) + Miconazole (2% w/w) + Terbinafine (1% w/w) + Dexpanthenol (0.05% w/w), Dermatitis Fungal skin infections
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Cilnidipine (10mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
Tiotropium (9mcg),Treatment of Chronic obstructive pulmonary disease (COPD)
Telmisartan (40mg) + Amlodipine (5mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Atenolol (12.5mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Trioxasalen (5mg), Vitiligo Psoriasis
Oxcarbazepine (300mg), Epilepsy/Seizures
Tianeptine (37.5mg), Depression
Torasemide (20mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Amoxycillin (500mg) + Potassium Clavulanate (125mg) + Lactobacillus Acidophilus (60Million spores),Treatment of Bacterial infections
Travoprost (0.004% w/v),Treatment of GlaucomaTreatment of Ocular hypertension
Bromhexine (8mg) + Guaifenesin (100mg) + Menthol (5mg) + Terbutaline (2.5mg),Treatment of Cough
Telmisartan (80mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Thyroxine (137mcg),Treatment of Hypothyroidism
Losartan (50mg) + Amlodipine (5mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Cilnidipine (10mg) + Telmisartan (40mg),Treatment of Hypertension (high blood pressure)
Oxaceprol (200mg), Osteoarthritis Rheumatoid arthritis
Telmisartan (80mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Montelukast (5mg),Prevention of AsthmaTreatment of Sneezing and runny nose due to allergies
Isotretinoin (20mg),Treatment of Acne
Terbinafine (500mg), Fungal infections
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Olmesartan Medoxomil (40mg) + Amlodipine (5mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Atorvastatin (20mg), High cholesterolPrevention of Heart attack
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Hydroquinone (2% w/w) + Tretinoin (0.025% w/w) + Fluocinolone acetonide (0.01% w/w), Melasma
Levetiracetam (250mg),Treatment of Epilepsy/Seizures
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Levocetirizine (5mg),Treatment of Allergic conditions
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Thyroxine (200mcg),Treatment of Hypothyroidism
Cilnidipine (10mg) + Telmisartan (80mg),Treatment of Hypertension (high blood pressure)
Amylmetacresol (0.6mg) + Dextromethorphan Hydrobromide (5mg), Dry cough
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Telmisartan (80mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Olanzapine (300mg), SchizophreniaTreatment of Mania
Trimetazidine (60mg),Treatment of Angina (heart-related chest pain)
Tirofiban (5mg),Prevention of Heart attack
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Isotretinoin (25mg),Treatment of Acne
Terbinafine (1% w/w), Fungal skin infections
Minoxidil (2% w/v) + Azelaic Acid (1.5% w/v) + Tretinoin (0.025% w/v), Hair loss
Ticagrelor (90mg), Prevention of heart attack and stroke
Isotretinoin (10mg),Treatment of Acne
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Ticagrelor (60mg), Prevention of heart attack and stroke
Emtricitabine (200mg) + Tenofovir disoproxil fumarate (300mg), HIV infection
Telmisartan (80mg) + Amlodipine (5mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Cilnidipine (10mg) + Telmisartan (40mg),Treatment of Hypertension (high blood pressure)
Divalproex (250mg),Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Terbutaline (1.25mg/5ml),Treatment of Cough with mucus
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Terbinafine (1% w/w), Fungal skin infections
Tacrolimus (0.1% w/v),Treatment of Atopic dermatitis
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Terbutaline (1.25mg/5ml),Treatment of Cough with mucus
Olmesartan Medoxomil (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Bromelain (180mg) + Trypsin (96mg) + Rutoside (200mg), Pain relief
Levodopa (250mg) + Carbidopa (25mg),Treatment of Parkinson's disease
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
